year_since_draft,metric_value,metric_percentile,prob_year3_decision,prob_year4_decision,prob_year5_decision,r_channel,g_channel,b_channel,rgb_color_hex
2,4117.432959946971,76.8642447418738,0.8955883464475942,0.8955883464475942,0.8955883464475942,228,228,228,#e4e4e4
2,4225.786458892944,78.77629063097514,0.9090510795450434,0.9090510795450434,0.9090510795450434,231,231,231,#e7e7e7
2,4334.139957838917,82.02676864244742,0.9283849682984531,0.9283849682984531,0.9283849682984531,236,236,236,#ececec
2,4442.49345678489,85.08604206500956,0.9430466567516352,0.9430466567516352,0.9430466567516352,240,240,240,#f0f0f0
2,4550.846955730863,87.76290630975143,0.9535153115204316,0.9535153115204316,0.9535153115204316,243,243,243,#f3f3f3
2,4659.200454676836,89.67495219885276,0.9598438949102632,0.9598438949102632,0.9598438949102632,244,244,244,#f4f4f4
2,4767.553953622809,92.1606118546845,0.9668451375235346,0.9668451375235346,0.9668451375235346,246,246,246,#f6f6f6
2,4875.907452568782,94.45506692160612,0.9722507613875682,0.9722507613875682,0.9722507613875682,247,247,247,#f7f7f7
2,4984.260951514755,96.36711281070745,0.9760925906735946,0.9760925906735946,0.9760925906735946,248,248,248,#f8f8f8
2,5092.614450460727,96.94072657743786,0.9771403763150786,0.9771403763150786,0.9771403763150786,249,249,249,#f9f9f9
2,5200.9679494067,98.27915869980879,0.9794137882040624,0.9794137882040624,0.9794137882040624,249,249,249,#f9f9f9
2,5309.3214483526735,98.8527724665392,0.9803189512209942,0.9803189512209942,0.9803189512209942,249,249,249,#f9f9f9
3,0.0,1.5296367112810707,0.02028005115674226,0.02028005115674226,0.02028005115674226,5,5,5,#050505
3,108.35349894597293,6.8833652007648185,0.030788823078176767,0.030788823078176767,0.030788823078176767,7,7,7,#070707
3,216.70699789194586,10.707456978967494,0.04135198925379469,0.04135198925379469,0.04135198925379469,10,10,10,#0a0a0a
3,325.0604968379188,14.913957934990439,0.056953343248364666,0.056953343248364666,0.056953343248364666,14,14,14,#0e0e0e
3,433.4139957838917,16.634799235181642,0.06481446971677907,0.06481446971677907,0.06481446971677907,16,16,16,#101010
3,541.7674947298647,18.164435946462714,0.07263871883316093,0.07263871883316093,0.07263871883316093,18,18,18,#121212
