year,total_yards_adj,payment_probability,decision_year,k_value,metric_name
0.6153846153846154,2742.6820654506146,40.0,3,5,total_yards_adj
0.6153846153846154,2803.038997784267,40.0,3,5,total_yards_adj
0.6153846153846154,2863.395930117919,40.0,3,5,total_yards_adj
0.6153846153846154,2923.752862451571,60.0,3,5,total_yards_adj
0.6153846153846154,2984.109794785223,40.0,3,5,total_yards_adj
0.6153846153846154,3044.4667271188755,40.0,3,5,total_yards_adj
0.6153846153846154,3104.8236594525274,40.0,3,5,total_yards_adj
0.6153846153846154,3165.18059178618,40.0,3,5,total_yards_adj
0.6153846153846154,3225.5375241198317,20.0,3,5,total_yards_adj
0.6153846153846154,3285.894456453484,20.0,3,5,total_yards_adj
0.6153846153846154,3346.251388787136,40.0,3,5,total_yards_adj
0.6153846153846154,3406.6083211207883,40.0,3,5,total_yards_adj
0.6153846153846154,3466.9652534544402,40.0,3,5,total_yards_adj
0.6153846153846154,3527.3221857880926,40.0,3,5,total_yards_adj
0.6153846153846154,3587.6791181217445,40.0,3,5,total_yards_adj
0.6153846153846154,3648.036050455397,20.0,3,5,total_yards_adj
0.6153846153846154,3708.392982789049,20.0,3,5,total_yards_adj
0.6153846153846154,3768.749915122701,20.0,3,5,total_yards_adj
0.6153846153846154,3829.106847456353,20.0,3,5,total_yards_adj
0.6153846153846154,3889.4637797900054,40.0,3,5,total_yards_adj
0.6153846153846154,3949.820712123658,20.0,3,5,total_yards_adj
0.6153846153846154,4010.1776444573097,20.0,3,5,total_yards_adj
0.6153846153846154,4070.534576790962,20.0,3,5,total_yards_adj
0.6153846153846154,4130.8915091246145,40.0,3,5,total_yards_adj
0.6153846153846154,4191.248441458266,40.0,3,5,total_yards_adj
0.6153846153846154,4251.605373791918,60.0,3,5,total_yards_adj
0.6153846153846154,4311.962306125571,60.0,3,5,total_yards_adj
0.6153846153846154,4372.319238459223,60.0,3,5,total_yards_adj
0.6153846153846154,4432.6761707928745,80.0,3,5,total_yards_adj
0.6153846153846154,4493.033103126527,80.0,3,5,total_yards_adj
0.6153846153846154,4553.390035460179,80.0,3,5,total_yards_adj
0.6153846153846154,4613.746967793832,100.0,3,5,total_yards_adj
0.6153846153846154,4674.103900127483,100.0,3,5,total_yards_adj
0.6153846153846154,4734.460832461135,100.0,3,5,total_yards_adj
0.6153846153846154,4794.817764794788,100.0,3,5,total_yards_adj
0.6153846153846154,4855.17469712844,100.0,3,5,total_yards_adj
0.6153846153846154,4915.531629462092,100.0,3,5,total_yards_adj
0.6153846153846154,4975.888561795744,100.0,3,5,total_yards_adj
0.6153846153846154,5036.245494129396,100.0,3,5,total_yards_adj
0.6153846153846154,5096.602426463049,100.0,3,5,total_yards_adj
0.6153846153846154,5156.9593587967,100.0,3,5,total_yards_adj
0.6153846153846154,5217.3162911303525,100.0,3,5,total_yards_adj
0.6153846153846154,5277.673223464005,100.0,3,5,total_yards_adj
0.6153846153846154,5338.030155797657,100.0,3,5,total_yards_adj
0.6153846153846154,5398.387088131309,100.0,3,5,total_yards_adj
0.6153846153846154,5458.744020464961,100.0,3,5,total_yards_adj
0.6153846153846154,5519.100952798613,100.0,3,5,total_yards_adj
0.6153846153846154,5579.457885132266,100.0,3,5,total_yards_adj
0.6153846153846154,5639.814817465917,100.0,3,5,total_yards_adj
0.6153846153846154,5700.17174979957,100.0,3,5,total_yards_adj
0.6153846153846154,5760.528682133222,100.0,3,5,total_yards_adj
0.6153846153846154,5820.885614466874,100.0,3,5,total_yards_adj
0.6153846153846154,5881.242546800527,100.0,3,5,total_yards_adj
0.6153846153846154,5941.599479134178,100.0,3,5,total_yards_adj
0.6153846153846154,6001.956411467831,100.0,3,5,total_yards_adj
0.6666666666666666,26.62011043626799,60.0,3,5,total_yards_adj
0.6666666666666666,86.97704276992013,60.0,3,5,total_yards_adj
0.6666666666666666,147.33397510357227,60.0,3,5,total_yards_adj
