year,Pass_ANY/A_adj,payment_probability,decision_year,k_value,metric_name
0.6153846153846154,13.974073104777828,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,14.155981335749031,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,14.33788956672023,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,14.519797797691433,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,14.701706028662633,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,14.883614259633836,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,15.065522490605035,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,15.247430721576238,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,15.429338952547438,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,15.61124718351864,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,15.793155414489844,65.0,3,20,Pass_ANY/A_adj
0.6153846153846154,15.975063645461043,65.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-2.033851220687895,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-1.8519429897166935,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-1.670034758745492,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-1.4881265277742908,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-1.3062182968030893,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-1.1243100658318879,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-0.9424018348606866,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-0.7604936038894852,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-0.5785853729182837,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-0.39667714194708226,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-0.2147689109758808,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,-0.032860680004679566,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,0.14904755096652167,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,0.33095578193772335,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,0.5128640129089246,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,0.6947722438801263,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,0.8766804748513275,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,1.0585887058225287,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,1.2404969367937304,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,1.4224051677649316,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,1.6043133987361333,20.0,3,20,Pass_ANY/A_adj
0.6666666666666666,1.7862216297073346,15.0,3,20,Pass_ANY/A_adj
