Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
,,Signed,,,,,,,Cap At Signing,,Value,APY,Guaranteed
Joe Flacco,Browns,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Sean Mannion,Seahawks,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Nathan Peterman,Bears,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Brett Rypien,Seahawks,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Trevor Siemian,Jets,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Joe Flacco,Browns,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Sean Mannion,Seahawks,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Brett Rypien,Rams,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Tim Boyle,Texans,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
David Blough,Lions,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Jeff Driskel,Cardinals,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Joe Flacco,Browns,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Jeff Driskel,Cardinals,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
John Wolford,Buccaneers,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Sean Mannion,Seahawks,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Brett Rypien,Seahawks,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Phillip Walker,Browns,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Will Grier,Bengals,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Tim Boyle,Jets,2023,1,,"$370,800 ","$370,800 ",$0 ,,0.20%,,"$460,531 ","$460,531 ",$0 
Josh Johnson,Jets,2021,1,,"$297,722 ","$297,722 ",$0 ,,0.20%,,"$455,474 ","$455,474 ",$0 
Brian Hoyer,Patriots,2021,1,,"$297,722 ","$297,722 ",$0 ,,0.20%,,"$455,474 ","$455,474 ",$0 
Tyler Bray,Bears,2020,1,,"$323,316 ","$323,316 ",$0 ,,0.20%,,"$455,448 ","$455,448 ",$0 
Sean Mannion,Vikings,2021,1,,"$293,000 ","$293,000 ",$0 ,,0.20%,,"$448,250 ","$448,250 ",$0 
Brett Hundley,Colts,2021,1,,"$293,000 ","$293,000 ",$0 ,,0.20%,,"$448,250 ","$448,250 ",$0 
Josh Johnson,Broncos,2022,1,,"$334,222 ","$334,222 ",$0 ,,0.20%,,"$448,198 ","$448,198 ",$0 
Nick Mullens,Browns,2021,1,,"$289,111 ","$289,111 ",$0 ,,0.20%,,"$442,300 ","$442,300 ",$0 
Matt Barkley,Bears,2016,1,,"$244,800 ","$244,800 ",$0 ,,0.20%,,"$440,189 ","$440,189 ",$0 
Feleipe Franks,Panthers,2024,1,,"$395,522 ","$395,522 ",$0 ,,0.20%,,"$432,380 ","$432,380 ",$0 
Brandon Doughty,Dolphins,2017,1,,"$258,400 ","$258,400 ",$0 ,,0.20%,,"$432,008 ","$432,008 ",$0 
Davis Webb,Giants,2022,1,,"$321,666 ","$321,666 ",$0 ,,0.20%,,"$431,360 ","$431,360 ",$0 
Chris Streveler,Jets,2022,1,,"$321,666 ","$321,666 ",$0 ,,0.20%,,"$431,360 ","$431,360 ",$0 
Brad Kaaya,Lions,2017,1,,"$255,000 ","$255,000 ",$0 ,,0.20%,,"$426,323 ","$426,323 ",$0 
Taylor Heinicke,Patriots,2017,1,,"$255,000 ","$255,000 ",$0 ,,0.20%,,"$426,323 ","$426,323 ",$0 
Tyler Huntley,Ravens,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$419,128 ","$419,128 ",$0 
Will Grier,Cowboys,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$419,128 ","$419,128 ",$0 
Mike White,Bills,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$419,128 ","$419,128 ",$0 
Feleipe Franks,Panthers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$419,128 ","$419,128 ",$0 
Daniel Jones,Vikings,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$419,128 ","$419,128 ",$0 
Tim Boyle,Dolphins,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$419,128 ","$419,128 ",$0 
Feleipe Franks,Panthers,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$419,128 ","$419,128 ",$0 
Tim Boyle,Dolphins,2024,1,,"$383,400 ","$383,400 ",$0 ,,0.20%,,"$419,128 ","$419,128 ",$0 
David Fales,Bears,2015,1,,"$212,500 ","$212,500 ",$0 ,,0.10%,,"$414,084 ","$414,084 ",$0 
Garrett Gilbert,Patriots,2022,1,,"$299,800 ","$299,800 ",$0 ,,0.10%,,"$402,037 ","$402,037 ",$0 
Nate Sudfeld,49ers,2021,1,,"$257,200 ","$257,200 ",$0 ,,0.10%,,"$393,481 ","$393,481 ",$0 
Tyler Bray,Bears,2020,1,,"$278,187 ","$278,187 ",$0 ,,0.10%,,"$391,876 ","$391,876 ",$0 
Anthony Brown,Ravens,2022,1,,"$290,001 ","$290,001 ",$0 ,,0.10%,,"$388,897 ","$388,897 ",$0 
Josh Johnson,Broncos,2022,1,,"$288,000 ","$288,000 ",$0 ,,0.10%,,"$386,213 ","$386,213 ",$0 
Jeff Driskel,Texans,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Nick Mullens,Browns,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Kevin Hogan,Titans,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Blake Bortles,Packers,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Matt Barkley,Falcons,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Brett Hundley,Colts,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
DeShone Kizer,Titans,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Matt Barkley,Titans,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Nathan Peterman,Raiders,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Brett Hundley,Colts,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Kevin Hogan,Titans,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Sean Mannion,Vikings,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Garrett Gilbert,Patriots,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Brian Hoyer,Patriots,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Josh Johnson,Jets,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
Blake Bortles,Saints,2021,1,,"$252,000 ","$252,000 ",$0 ,,0.10%,,"$385,525 ","$385,525 ",$0 
A.J. McCarron,Bengals,2023,1,,"$306,222 ","$306,222 ",$0 ,,0.10%,,"$380,326 ","$380,326 ",$0 
Chris Streveler,Jets,2022,1,,"$283,444 ","$283,444 ",$0 ,,0.10%,,"$380,104 ","$380,104 ",$0 
Logan Woodside,Titans,2022,1,,"$283,444 ","$283,444 ",$0 ,,0.10%,,"$380,104 ","$380,104 ",$0 
Jacob Eason,Panthers,2022,1,,"$283,444 ","$283,444 ",$0 ,,0.10%,,"$380,104 ","$380,104 ",$0 
Davis Webb,Giants,2022,1,,"$283,444 ","$283,444 ",$0 ,,0.10%,,"$380,104 ","$380,104 ",$0 
Tommy DeVito,Giants,2023,1,,"$305,001 ","$305,001 ",$0 ,,0.10%,,"$378,809 ","$378,809 ",$0 
Garrett Gilbert,Patriots,2022,1,,"$277,200 ","$277,200 ",$0 ,,0.10%,,"$371,730 ","$371,730 ",$0 
Mike Glennon,Dolphins,2022,1,,"$277,200 ","$277,200 ",$0 ,,0.10%,,"$371,730 ","$371,730 ",$0 
Brett Hundley,NO/BAL,2022,1,,"$277,200 ","$277,200 ",$0 ,,0.10%,,"$371,730 ","$371,730 ",$0 
Kevin Hogan,Titans,2022,1,,"$277,200 ","$277,200 ",$0 ,,0.10%,,"$371,730 ","$371,730 ",$0 
Josh Rosen,Browns,2022,1,,"$277,200 ","$277,200 ",$0 ,,0.10%,,"$371,730 ","$371,730 ",$0 
Mike Glennon,Dolphins,2022,1,,"$277,200 ","$277,200 ",$0 ,,0.10%,,"$371,730 ","$371,730 ",$0 
Tim Boyle,Lions,2022,1,,"$277,200 ","$277,200 ",$0 ,,0.10%,,"$371,730 ","$371,730 ",$0 
Garrett Gilbert,Patriots,2022,1,,"$277,200 ","$277,200 ",$0 ,,0.10%,,"$371,730 ","$371,730 ",$0 
Josh Rosen,Vikings,2022,1,,"$277,200 ","$277,200 ",$0 ,,0.10%,,"$371,730 ","$371,730 ",$0 
Brett Hundley,Ravens,2022,1,,"$277,200 ","$277,200 ",$0 ,,0.10%,,"$371,730 ","$371,730 ",$0 
A.J. McCarron,Bengals,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$359,930 ","$359,930 ",$0 
Will Grier,Patriots,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$359,930 ","$359,930 ",$0 
Sean Mannion,Vikings,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$359,930 ","$359,930 ",$0 
Matt Barkley,Giants,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$359,930 ","$359,930 ",$0 
Trace McSorley,Bears,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$359,930 ","$359,930 ",$0 
Matt Barkley,Giants,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$359,930 ","$359,930 ",$0 
Trace McSorley,Steelers,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$359,930 ","$359,930 ",$0 
Ben DiNucci,Broncos,2023,1,,"$288,666 ","$288,666 ",$0 ,,0.10%,,"$358,521 ","$358,521 ",$0 
Matt Moore,Chiefs,2020,1,,"$253,765 ","$253,765 ",$0 ,,0.10%,,"$357,473 ","$357,473 ",$0 
B.J. Daniels,Seahawks,2014,1,,"$170,000 ","$170,000 ",$0 ,,0.10%,,"$356,872 ","$356,872 ",$0 
Zac Dysert,Broncos,2014,1,,"$170,000 ","$170,000 ",$0 ,,0.10%,,"$356,872 ","$356,872 ",$0 
Tyler Huntley,Ravens,2020,1,,"$252,728 ","$252,728 ",$0 ,,0.10%,,"$356,012 ","$356,012 ",$0 
Anthony Brown,Ravens,2022,1,,"$262,334 ","$262,334 ",$0 ,,0.10%,,"$351,795 ","$351,795 ",$0 
Jake Browning,Bengals,2022,1,,"$262,334 ","$262,334 ",$0 ,,0.10%,,"$351,795 ","$351,795 ",$0 
Tommy DeVito,Giants,2023,1,,"$275,334 ","$275,334 ",$0 ,,0.10%,,"$341,963 ","$341,963 ",$0 
Josh Woodrum,Ravens,2017,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$341,059 ","$341,059 ",$0 
Tyler Bray,Bears,2018,1,,"$212,500 ","$212,500 ",$0 ,,0.10%,,"$334,819 ","$334,819 ",$0 
Logan Thomas,Dolphins,2015,1,,"$170,000 ","$170,000 ",$0 ,,0.10%,,"$331,267 ","$331,267 ",$0 
Trevor Siemian,Titans,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Will Grier,Eagles,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Trevor Siemian,Titans,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Nathan Peterman,Falcons,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Logan Woodside,Bengals,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Tim Boyle,Giants,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Trevor Siemian,Titans,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Logan Woodside,Bengals,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
C.J. Beathard,Dolphins,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Tim Boyle,Giants,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Brett Rypien,Vikings,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Trevor Siemian,Titans,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
John Wolford,Jaguars,2024,1,,"$302,400 ","$302,400 ",$0 ,,0.10%,,"$330,580 ","$330,580 ",$0 
Jaren Hall,Seahawks,2024,1,,"$301,666 ","$301,666 ",$0 ,,0.10%,,"$329,777 ","$329,777 ",$0 
Sean Clifford,Packers,2024,1,,"$301,666 ","$301,666 ",$0 ,,0.10%,,"$329,777 ","$329,777 ",$0 
Jacob Eason,Panthers,2022,1,,"$245,222 ","$245,222 ",$0 ,,0.10%,,"$328,847 ","$328,847 ",$0 
Chris Streveler,Jets,2022,1,,"$245,222 ","$245,222 ",$0 ,,0.10%,,"$328,847 ","$328,847 ",$0 
Logan Woodside,Titans,2022,1,,"$245,222 ","$245,222 ",$0 ,,0.10%,,"$328,847 ","$328,847 ",$0 
Davis Webb,Giants,2022,1,,"$245,222 ","$245,222 ",$0 ,,0.10%,,"$328,847 ","$328,847 ",$0 
Nate Sudfeld,49ers,2021,1,,"$211,400 ","$211,400 ",$0 ,,0.10%,,"$323,413 ","$323,413 ",$0 
Jordan Rodgers,Jaguars,2013,3,,"$420,000 ","$140,000 ","$5,000 ",,0.10%,,"$953,366 ","$317,789 ","$11,350 "
Tyler Huntley,Ravens,2020,1,,"$225,246 ","$225,246 ",$0 ,,0.10%,,"$317,299 ","$317,299 ",$0 
Jake Luton,Seahawks,2021,1,,"$206,266 ","$206,266 ",$0 ,,0.10%,,"$315,559 ","$315,559 ",$0 
Tyler Bray,Bears,2019,1,,"$212,500 ","$212,500 ",$0 ,,0.10%,,"$315,250 ","$315,250 ",$0 
Michael Pratt,Buccaneers,2024,1,,"$288,334 ","$288,334 ",$0 ,,0.10%,,"$315,203 ","$315,203 ",$0 
Jeff Driskel,Raiders,2025,1,,"$315,000 ","$315,000 ",$0 ,,0.10%,,"$315,000 ","$315,000 ",$0 
Brett Rypien,Bengals,2025,1,,"$315,000 ","$315,000 ",$0 ,,0.10%,,"$315,000 ","$315,000 ",$0 
Will Grier,Cowboys,2025,1,,"$315,000 ","$315,000 ",$0 ,,0.10%,,"$315,000 ","$315,000 ",$0 
C.J. Beathard,Lions,2025,1,,"$315,000 ","$315,000 ",$0 ,,0.10%,,"$315,000 ","$315,000 ",$0 
Sam Ehlinger,Broncos,2025,1,,"$315,000 ","$315,000 ",$0 ,,0.10%,,"$315,000 ","$315,000 ",$0 
Trevor Siemian,Titans,2025,1,,"$315,000 ","$315,000 ",$0 ,,0.10%,,"$315,000 ","$315,000 ",$0 
Easton Stick,Falcons,2025,1,,"$315,000 ","$315,000 ",$0 ,,0.10%,,"$315,000 ","$315,000 ",$0 
Tyler Huntley,Ravens,2025,1,,"$315,000 ","$315,000 ",$0 ,,0.10%,,"$315,000 ","$315,000 ",$0 
Bailey Zappe,Browns,2025,1,,"$315,000 ","$315,000 ",$0 ,,0.10%,,"$315,000 ","$315,000 ",$0 
Jake Browning,Bengals,2022,1,,"$234,667 ","$234,667 ",$0 ,,0.10%,,"$314,693 ","$314,693 ",$0 
Anthony Brown,Ravens,2022,1,,"$234,667 ","$234,667 ",$0 ,,0.10%,,"$314,693 ","$314,693 ",$0 
Ben DiNucci,Broncos,2023,1,,"$252,333 ","$252,333 ",$0 ,,0.10%,,"$313,396 ","$313,396 ",$0 
Davis Webb,Bills,2021,1,,"$203,622 ","$203,622 ",$0 ,,0.10%,,"$311,514 ","$311,514 ",$0 
Trace McSorley,Ravens,2021,1,,"$203,622 ","$203,622 ",$0 ,,0.10%,,"$311,514 ","$311,514 ",$0 
David Fales,Ravens,2016,1,,"$170,000 ","$170,000 ",$0 ,,0.10%,,"$305,687 ","$305,687 ",$0 
Tommy DeVito,Giants,2023,1,,"$245,667 ","$245,667 ",$0 ,,0.10%,,"$305,117 ","$305,117 ",$0 
Chris Oladokun,Chiefs,2023,1,,"$245,667 ","$245,667 ",$0 ,,0.10%,,"$305,117 ","$305,117 ",$0 
Mike White,Jets,2019,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$302,640 ","$302,640 ",$0 
Luke Falk,Jets,2019,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$302,640 ","$302,640 ",$0 
Jake Browning,Bengals,2021,1,,"$193,067 ","$193,067 ",$0 ,,0.10%,,"$295,366 ","$295,366 ",$0 
Jake Luton,Panthers,2023,1,,"$236,111 ","$236,111 ",$0 ,,0.10%,,"$293,248 ","$293,248 ",$0 
Sean Clifford,Packers,2024,1,,"$263,333 ","$263,333 ",$0 ,,0.10%,,"$287,872 ","$287,872 ",$0 
Jaren Hall,Seahawks,2024,1,,"$263,333 ","$263,333 ",$0 ,,0.10%,,"$287,872 ","$287,872 ",$0 
Matt Moore,Chiefs,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
DeShone Kizer,LV/TEN,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Joe Webb,Lions,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Cooper Rush,Cowboys,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Josh Johnson,49ers,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
David Fales,Jets,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Brandon Allen,Bengals,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Cooper Rush,Giants,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Kevin Hogan,Bengals,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Trevor Siemian,Saints,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Alex Tanney,Giants,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Kevin Hogan,Bengals,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Josh McCown,Eagles,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Joe Webb,Giants,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Mike Glennon,Jaguars,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Taylor Heinicke,Commanders,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Drew Stanton,Buccaneers,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Trevor Siemian,Titans,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Blake Bortles,Broncos,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Cooper Rush,Cowboys,2020,1,,"$204,000 ","$204,000 ",$0 ,,0.10%,,"$287,370 ","$287,370 ",$0 
Reid Sinnett,Bengals,2023,1,,"$228,333 ","$228,333 ",$0 ,,0.10%,,"$283,588 ","$283,588 ",$0 
Michael Pratt,Buccaneers,2024,1,,"$256,667 ","$256,667 ",$0 ,,0.10%,,"$280,585 ","$280,585 ",$0 
Adrian Martinez,Jets,2024,1,,"$256,667 ","$256,667 ",$0 ,,0.10%,,"$280,585 ","$280,585 ",$0 
Jack Plummer,Panthers,2024,1,,"$256,667 ","$256,667 ",$0 ,,0.10%,,"$280,585 ","$280,585 ",$0 
Carter Bradley,Raiders,2024,1,,"$256,667 ","$256,667 ",$0 ,,0.10%,,"$280,585 ","$280,585 ",$0 
Tyler Huntley,Ravens,2020,1,,"$197,764 ","$197,764 ",$0 ,,0.10%,,"$278,586 ","$278,586 ",$0 
Steven Montez,Commanders,2020,1,,"$197,764 ","$197,764 ",$0 ,,0.10%,,"$278,586 ","$278,586 ",$0 
Carson Strong,Cardinals,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Steven Montez,Lions,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Davis Cheek,Panthers,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Jarrett Guarantano,Broncos,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Case Cookus,Rams,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Danny Etling,Packers,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
EJ Perry,Jaguars,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Chris Oladokun,Chiefs,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Logan Woodside,Titans,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Jake Luton,Saints,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Chase Garbers,Raiders,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Jacob Eason,Panthers,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Jake Luton,Saints,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Trace McSorley,Cardinals,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Jarrett Guarantano,Cardinals,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Kurt Benkert,49ers,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Jake Luton,Saints,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
James Morgan,Cardinals,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Jake Fromm,Commanders,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Jake Browning,Bengals,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Reid Sinnett,Eagles,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Jacob Eason,49ers,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Chris Streveler,Jets,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Jarrett Guarantano,Broncos,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Davis Webb,Giants,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Reid Sinnett,Dolphins,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Anthony Brown,Ravens,2022,1,,"$207,000 ","$207,000 ",$0 ,,0.10%,,"$277,591 ","$277,591 ",$0 
Alex McGough,Packers,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Ian Book,Patriots,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Shane Buechele,Bills,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Nathan Rourke,Jaguars,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Malik Cunningham,Patriots,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Ben DiNucci,Broncos,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Holton Ahlers,Seahawks,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Jake Fromm,Commanders,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Malik Cunningham,Patriots,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Kellen Mond,Colts,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
EJ Perry,Jaguars,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Chris Oladokun,Chiefs,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Bailey Zappe,Patriots,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Dresser Winn,Rams,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
Max Duggan,Chargers,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$268,270 ","$268,270 ",$0 
