Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
,,Signed,,,,,,,Cap At Signing,,Value,APY,Guaranteed
Eli Manning,Giants,2009,6,,"$97,500,000 ","$16,250,000 ","$20,500,000 ",,13.20%,,"$221,317,073 ","$36,886,179 ","$46,533,333 "
Tom Brady,Patriots,2016,2,,"$41,000,000 ","$20,500,000 ","$28,000,000 ",,13.20%,,"$73,724,480 ","$36,862,240 ","$50,348,425 "
Steve McNair,Titans,2004,6,,"$63,250,010 ","$10,541,668 ","$6,090,000 ",,13.10%,,"$219,148,232 ","$36,524,704 ","$21,100,593 "
Baker Mayfield,Buccaneers,2024,3,,"$100,000,000 ","$33,333,333 ","$40,000,000 ",,13.10%,,"$109,318,716 ","$36,439,572 ","$43,727,486 "
Matt Schaub,Texans,2012,4,,"$62,000,000 ","$15,500,000 ","$24,250,000 ",,12.90%,,"$143,535,655 ","$35,883,914 ","$56,140,962 "
Kirk Cousins,Commanders,2016,1,,"$19,953,000 ","$19,953,000 ","$19,953,000 ",,12.90%,,"$35,878,648 ","$35,878,648 ","$35,878,648 "
Alex Smith,Chiefs,2014,4,,"$68,000,000 ","$17,000,000 ","$19,000,000 ",,12.80%,,"$142,748,872 ","$35,687,218 ","$39,885,714 "
Dan Marino,Dolphins,1999,3,,"$21,750,000 ","$7,250,000 ","$2,545,000 ",,12.70%,,"$106,001,257 ","$35,333,752 ","$12,403,365 "
Ben Roethlisberger,Steelers,2008,6,,"$87,986,500 ","$14,664,417 ","$33,200,000 ",,12.60%,,"$211,774,403 ","$35,295,735 ","$79,908,966 "
Steve McNair,Titans,2001,5,,"$42,542,500 ","$8,508,500 ","$10,000,000 ",,12.60%,,"$176,216,393 ","$35,243,279 ","$41,421,260 "
Tom Brady,Buccaneers,2020,2,,"$50,000,000 ","$25,000,000 ","$50,000,000 ",,12.60%,,"$70,433,905 ","$35,216,953 ","$70,433,905 "
Drew Brees,Saints,2020,2,,"$50,000,000 ","$25,000,000 ","$25,000,000 ",,12.60%,,"$70,433,905 ","$35,216,953 ","$35,216,953 "
Philip Rivers,Colts,2020,1,,"$25,000,000 ","$25,000,000 ","$25,000,000 ",,12.60%,,"$35,216,953 ","$35,216,953 ","$35,216,953 "
